k,scope,condition,reference,difference,low,high,routes,drivers,mean_direction,interval_support
5,all,proxy_clean,uncertainty,-0.3441527719196975,-0.5823452236264853,-0.10279553583028293,4112,261,True,True
5,all,proxy_clean,disagreement,-0.7572854366346641,-0.9735075173738856,-0.5311095042351592,4112,261,True,True
5,all,proxy_clean,latest_eta,-0.8929803566706097,-1.1355489615211398,-0.6414701938208179,4112,261,True,True
5,all,independent_refusal25,random,-0.6232765079464497,-0.7679568377878697,-0.48346487066329297,4112,261,True,True
5,all,independent_refusal25,uncertainty,-0.2581145789397732,-0.4367589177198642,-0.07709665187271217,4112,261,True,True
5,all,independent_refusal25,disagreement,-0.5679640774759982,-0.7301306380304142,-0.3983321281763694,4112,261,True,True
5,all,independent_refusal25,latest_eta,-0.6697352675029575,-0.8516617211408551,-0.4811026453656136,4112,261,True,True
5,all,independent_refusal50,random,-0.4155176719642999,-0.5119712251919132,-0.3223099137755288,4112,261,True,True
5,all,independent_refusal50,uncertainty,-0.17207638595984873,-0.2911726118132426,-0.051397767915141404,4112,261,True,True
5,all,independent_refusal50,disagreement,-0.378642718317332,-0.48675375868694304,-0.2655547521175796,4112,261,True,True
5,all,independent_refusal50,latest_eta,-0.44649017833530497,-0.56777448076057,-0.3207350969104091,4112,261,True,True
5,all,entropy_refusal25,random,-0.2687181920653945,-0.41098686362866227,-0.13046938125939334,4112,261,True,True
5,all,entropy_refusal25,uncertainty,-0.229711925807733,-0.3997651675806534,-0.05553360565484993,4112,261,True,True
5,all,entropy_refusal25,disagreement,-0.2720872588485999,-0.4303868848669796,-0.1172227455240514,4112,261,True,True
5,all,entropy_refusal25,latest_eta,-0.21483568228910874,-0.39844333551019495,-0.030352428654100202,4112,261,True,True
5,all,entropy_refusal50,random,-0.16767675258939835,-0.27441219768686137,-0.07260034315430504,4112,261,True,True
5,all,entropy_refusal50,uncertainty,-0.11505392063077413,-0.2431177134164148,0.012138161261335798,4112,261,True,False
5,all,entropy_refusal50,disagreement,-0.14373247407076672,-0.2709498935852857,-0.025396127492485206,4112,261,True,True
5,all,entropy_refusal50,latest_eta,-0.07359042188091304,-0.22228874241031762,0.06937869870385374,4112,261,True,False
5,all,adjacent_error10,random,-0.8272895958693262,-1.011149269904047,-0.6463771042829337,4112,261,True,True
5,all,adjacent_error10,uncertainty,-0.36113306281924334,-0.5926798404691228,-0.1323164665941825,4112,261,True,True
5,all,adjacent_error10,disagreement,-0.7573730918882939,-0.9648847239470795,-0.5430450699843673,4112,261,True,True
5,all,adjacent_error10,latest_eta,-0.823395215562968,-1.058410654657914,-0.579477953142944,4112,261,True,True
5,all,adjacent_error20,random,-0.8235438478100529,-1.0002568742441216,-0.6490449876645391,4112,261,True,True
5,all,adjacent_error20,uncertainty,-0.378113353718789,-0.6009381644853996,-0.15541188106335524,4112,261,True,True
5,all,adjacent_error20,disagreement,-0.7574607471419239,-0.950890458592546,-0.5520693146637706,4112,261,True,True
5,all,adjacent_error20,latest_eta,-0.7538100744553264,-0.9811310379145354,-0.5182444866330315,4112,261,True,True
5,all,arbitrary_error10,random,-0.8323793451890771,-1.0081988351904412,-0.658633162654241,4112,261,True,True
5,all,arbitrary_error10,uncertainty,-0.33394928388471184,-0.5531249568213741,-0.1129280452756602,4112,261,True,True
5,all,arbitrary_error10,disagreement,-0.7316124219456842,-0.9273050595888258,-0.5287048245034031,4112,261,True,True
5,all,arbitrary_error10,latest_eta,-0.8599215433640893,-1.085526071589809,-0.623247963494719,4112,261,True,True
5,all,arbitrary_error20,random,-0.8337233464495548,-0.9949332939941943,-0.6732377864679344,4112,261,True,True
5,all,arbitrary_error20,uncertainty,-0.3237457958497261,-0.5224554995121048,-0.12177634765765578,4112,261,True,True
5,all,arbitrary_error20,disagreement,-0.7059394072567049,-0.8807208514972111,-0.5235027263618988,4112,261,True,True
5,all,arbitrary_error20,latest_eta,-0.8268627300575692,-1.04711135331197,-0.5976177690198741,4112,261,True,True
5,mismatch_0_to_10pct,proxy_clean,random,-1.3054271553002543,-1.6446906094005107,-1.0065297260514807,929,177,True,True
5,mismatch_0_to_10pct,proxy_clean,uncertainty,-0.7274282662055201,-1.1808870337999127,-0.3062050693576804,929,177,True,True
5,mismatch_0_to_10pct,proxy_clean,disagreement,-1.0532045930503913,-1.4939731159954142,-0.6598094128338459,929,177,True,True
5,mismatch_0_to_10pct,proxy_clean,latest_eta,-1.51605319055948,-1.9599856925055863,-1.0970340016982096,929,177,True,True
5,mismatch_10_to_30pct,proxy_clean,random,-1.3789085609634553,-1.7102916583115308,-1.0621322609849746,1022,193,True,True
5,mismatch_10_to_30pct,proxy_clean,uncertainty,-0.9853479109719846,-1.3603152472691424,-0.5994163466803633,1022,193,True,True
5,mismatch_10_to_30pct,proxy_clean,disagreement,-1.2545137072401353,-1.7030553444204197,-0.8199241474439688,1022,193,True,True
5,mismatch_10_to_30pct,proxy_clean,latest_eta,-1.6342254235953093,-1.9968028773344602,-1.27745526066686,1022,193,True,True
5,mismatch_over_30pct,proxy_clean,random,-0.3679921136769157,-0.6511582420691043,-0.07343901459019514,2161,216,True,True
5,mismatch_over_30pct,proxy_clean,uncertainty,0.1238548015661732,-0.21937970918853814,0.500804963533774,2161,216,False,False
5,mismatch_over_30pct,proxy_clean,disagreement,-0.39491792674618553,-0.7066665156335002,-0.0644586303092921,2161,216,True,True
5,mismatch_over_30pct,proxy_clean,latest_eta,-0.2745689170223899,-0.6240567349948207,0.10781224236188557,2161,216,True,False
5,driver_seen_False,proxy_clean,random,-1.0484726908017277,-1.772478051601204,-0.3053039059223681,239,77,True,True
5,driver_seen_False,proxy_clean,uncertainty,-0.41987490624216534,-1.2227197035489847,0.3984548077581656,239,77,True,False
5,driver_seen_False,proxy_clean,disagreement,-0.8500610154602355,-2.0079956334464777,0.3202662159196897,239,77,True,False
5,driver_seen_False,proxy_clean,latest_eta,-1.428145935739425,-2.35666830597123,-0.49775683796981,239,77,True,True
5,driver_seen_True,proxy_clean,random,-0.8176174441344667,-1.0032704591487018,-0.6206455261666467,3873,219,True,True
5,driver_seen_True,proxy_clean,uncertainty,-0.33948001434080005,-0.568423909135598,-0.08346096744108808,3873,219,True,True
5,driver_seen_True,proxy_clean,disagreement,-0.7515603234564271,-0.9603520342885522,-0.5170331612189426,3873,219,True,True
5,driver_seen_True,proxy_clean,latest_eta,-0.8599556798316098,-1.105720851656915,-0.6100675784585345,3873,219,True,True
