Route ID,mae,driver,origin
12472,68.56950830776822,286,19
12473,79.2884859665425,288,19
12475,73.35470626143639,42,19
12476,60.407468340226664,22,19
12478,35.08129115549537,282,19
12479,73.11657263561992,362,19
12480,90.64172833887103,26,19
12482,28.620436661859873,164,19
12483,29.864760145334355,271,19
12484,51.713828347189995,274,19
12485,39.8179589243147,296,19
12486,65.91737400918304,24,19
12487,31.815500752917128,162,19
12488,37.03514094742589,105,19
12490,50.051733500411466,31,19
12492,58.73998767591893,99,19
12493,47.37703635486537,21,19
12496,40.61815602483905,179,19
12502,63.464073511339244,34,19
12504,34.538927228971396,41,19
12506,109.2157117351783,146,19
12507,51.8488599992227,265,19
12508,66.17676243178174,277,19
12509,50.52393827836098,275,19
12512,30.118889738061135,223,19
12513,138.46013049799816,38,19
12516,141.2697381696453,180,19
12519,27.076745622580574,354,19
12520,40.956556285570564,273,19
12522,19.774653419244896,270,19
12523,79.59015535910453,234,19
12524,41.849529281438336,280,19
12527,24.690908757805364,165,19
12529,60.687819226196154,360,19
12530,70.06545431801955,40,19
12532,76.26833118472054,263,19
12533,64.91127713174241,54,19
12536,84.27499440810617,32,19
12537,48.333536349225206,293,19
12539,24.23214545391812,284,19
12540,73.30672954136237,323,19
12542,16.43319952499748,283,19
12543,36.58806052958731,80,19
12544,53.339442954326806,343,19
12549,86.65726921895264,300,19
12551,52.49765931342699,113,19
12553,87.30235378731147,363,19
12554,77.19352337790306,338,19
12560,43.14074797875459,79,19
12564,102.41017697772241,150,19
12567,46.37267862541964,45,19
12590,174.4985298795743,174,19
12598,28.196454153961415,9,19
12604,47.7965996203536,95,19
12606,112.02297248389434,2,19
12609,47.00238961321424,19,19
12610,43.050485391224996,142,19
12613,80.65575517154095,251,19
12616,119.17450661963558,339,19
12618,41.82656880069849,286,19
12619,25.474884808233316,260,19
12620,59.99992191603668,67,19
12622,27.055218862834582,282,19
12623,75.4297082636393,350,19
12625,100.44016253425578,26,19
12629,21.961953527740754,18,19
12630,19.10504203038404,36,19
12632,33.83187948215442,46,19
12634,93.26487628557003,288,19
12638,29.113847244447253,268,19
12640,87.72981111694243,276,19
12642,46.32287967451357,296,19
12645,129.8897036149205,197,19
12647,42.11325253766487,246,19
12648,83.4980549867951,325,19
12652,160.29689563282759,180,19
12653,124.90798218704852,40,19
12655,20.121544577105972,270,19
12656,106.66513787803306,60,19
12658,96.55169823186377,341,19
12659,36.87693543119615,280,19
12660,152.63554787394233,32,19
12672,145.65514392014532,38,19
12677,27.659440740458493,283,19
12678,198.87404661777492,227,19
12682,63.44217746199507,165,19
12684,57.256670268346284,360,19
12686,38.37444594260202,80,19
12687,45.45814922854191,223,19
12689,93.58964170819561,71,19
12690,28.97195192579835,59,19
12692,28.02475187011159,44,19
12693,44.84259970313192,338,19
12697,57.54571193452897,113,19
12707,65.41867127619012,146,19
12710,77.85729522487411,150,19
12711,26.24018756499954,167,19
12714,90.65452645476302,323,19
12715,19.527965747735575,169,19
12719,34.345067503392926,75,19
12733,187.66568764908124,126,19
12734,209.89982917877776,174,19
12741,15.518026576412781,6,19
12757,38.58452249732061,306,19
12759,43.21962353211431,96,19
12760,61.26946406095668,194,19
12763,64.04777297986733,286,19
12764,17.394766950010954,282,19
12765,98.87145974911421,33,19
12766,40.05388222741254,258,19
12769,41.20455326515419,99,19
12770,54.300375001457134,251,19
12771,18.522049743617913,164,19
12777,24.157531956061693,264,19
12778,113.2128200561844,128,19
12779,118.01527886717341,26,19
12788,46.79430350636489,179,19
12791,22.086334109059393,37,19
12792,51.86768575852949,246,19
12794,109.0070458049587,32,19
12798,126.7363429729982,197,19
12800,62.268621773356195,273,19
12803,168.78205776140456,31,19
12813,15.466444648795836,270,19
12815,84.23098646473373,71,19
12816,55.36240968547017,343,19
12818,26.272368535997053,284,19
12821,24.703075008159423,300,19
12825,24.54565326939653,165,19
12826,22.068802819656717,80,19
12827,111.0445559833707,60,19
12829,245.38973783615518,94,19
12831,38.14655483763644,50,19
12837,68.58396789099552,366,19
12838,54.45632244255818,44,19
12843,84.01883493240302,75,19
12850,55.71603634614022,79,19
12852,33.96290542160516,62,19
12860,80.74005416399858,82,19
12863,183.44232893066027,254,19
12864,102.56912990675237,87,19
12879,29.800285604407524,125,19
12884,36.58430746088202,3,19
12886,15.887146783577236,6,19
12887,43.385635849496616,141,19
12890,38.29216339712205,160,19
12893,73.005967765226,16,19
12895,57.92054064556914,19,19
12897,34.459629882501794,97,19
12898,33.82936335719572,96,19
12902,98.63077527844128,194,19
12904,78.95811235224124,251,19
12911,42.990786357840655,31,19
12914,22.530481004131488,164,19
12916,54.71203377189486,128,19
12918,19.038956255828044,36,19
12920,24.587776675864248,162,19
12921,21.660891109099047,25,19
12924,69.41176815022973,26,19
12926,27.175525131370062,21,19
12927,97.16209653396437,145,19
12928,24.487410086210097,39,19
12929,53.063418343418356,279,19
12930,83.85629511946968,271,19
12934,71.59103061020447,276,19
12936,9.972930377329632,37,19
12937,27.705316694821168,260,19
